PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TBANLT,411,189,0.06349206349206349,0.010582010582010581,0.06349206349206349,0.8624338624338624
TBANLT,433,76,0.039473684210526314,0.039473684210526314,0.07894736842105263,0.8421052631578947
TBANLT,450,18,0.1111111111111111,0.05555555555555555,0.0,0.8333333333333334
TBANLT,460,134,0.022388059701492536,0.007462686567164179,0.06716417910447761,0.9029850746268657
TBANLT,480,187,0.0053475935828877,0.016042780748663103,0.0748663101604278,0.9037433155080213
TBANLT,485,188,0.06914893617021277,0.010638297872340425,0.07446808510638298,0.8457446808510638
TBECON,220,1180,0.10254237288135593,0.09491525423728814,0.2584745762711864,0.5440677966101695
TBECON,221,485,0.0577319587628866,0.05154639175257732,0.2927835051546392,0.5979381443298969
TBECON,420,258,0.011627906976744186,0.03875968992248062,0.17054263565891473,0.7790697674418605
TBECON,421,182,0.0,0.005494505494505495,0.04395604395604396,0.9505494505494505
TBECON,422,116,0.0,0.017241379310344827,0.1724137931034483,0.8103448275862069
TBECON,423,237,0.012658227848101266,0.02531645569620253,0.1729957805907173,0.7890295358649789
TBIOMD,201,87,0.04597701149425287,0.034482758620689655,0.28735632183908044,0.632183908045977
TBIOMD,310,566,0.019434628975265017,0.00530035335689046,0.054770318021201414,0.9204946996466431
TBIOMD,410,355,0.008450704225352112,0.0028169014084507044,0.011267605633802818,0.9774647887323944
TBIOMD,490,62,0.03225806451612903,0.0,0.03225806451612903,0.9354838709677419
TBIOMD,492,29,0.0,0.0,0.10344827586206896,0.896551724137931
TBIOMD,495,223,0.004484304932735426,0.008968609865470852,0.03139013452914798,0.9551569506726457
TBIOMD,499,98,0.01020408163265306,0.0,0.0,0.9897959183673469
TCES,101,28,0.07142857142857142,0.0,0.07142857142857142,0.8571428571428571
TCES,102,11,0.0,0.0,0.0,1.0
TCES,203,145,0.09655172413793103,0.020689655172413793,0.19310344827586207,0.6896551724137931
TCES,215,157,0.025477707006369428,0.0,0.3184713375796178,0.6560509554140127
TCES,230,330,0.02727272727272727,0.05454545454545454,0.2696969696969697,0.6484848484848484
TCES,310,356,0.05337078651685393,0.06460674157303371,0.31179775280898875,0.5702247191011236
TCES,312,312,0.016025641025641024,0.00641025641025641,0.13141025641025642,0.8461538461538461
TCES,330,299,0.010033444816053512,0.0,0.14381270903010032,0.8461538461538461
TCES,372,132,0.015151515151515152,0.0,0.21212121212121213,0.7727272727272727
TCES,380,195,0.020512820512820513,0.015384615384615385,0.24615384615384617,0.717948717948718
TCES,420,97,0.0,0.020618556701030927,0.07216494845360824,0.9072164948453608
TCES,421,205,0.014634146341463415,0.01951219512195122,0.11707317073170732,0.848780487804878
TCES,425,26,0.038461538461538464,0.0,0.11538461538461539,0.8461538461538461
TCES,430,234,0.004273504273504274,0.0,0.13247863247863248,0.8632478632478633
TCES,455,146,0.0136986301369863,0.0273972602739726,0.1095890410958904,0.8493150684931506
TCES,460,171,0.017543859649122806,0.0,0.07017543859649122,0.9122807017543859
TCES,480,61,0.0,0.0,0.0,1.0
TCES,481,154,0.0,0.0,0.0,1.0
TCES,482,131,0.0,0.0,0.06870229007633588,0.9312977099236641
TCES,498,9,0.0,0.0,0.1111111111111111,0.8888888888888888
TCES,499,20,0.0,0.0,0.05,0.95
TCHIN,101,170,0.10588235294117647,0.029411764705882353,0.18823529411764706,0.6764705882352942
TCHIN,102,94,0.010638297872340425,0.010638297872340425,0.1702127659574468,0.8085106382978723
TCHIN,103,32,0.0,0.0625,0.21875,0.71875
TCOM,101,262,0.10687022900763359,0.05343511450381679,0.20229007633587787,0.6374045801526718
TCOM,201,1669,0.10005991611743559,0.04493708807669263,0.19772318753744758,0.6572798082684242
TCOM,220,472,0.06779661016949153,0.04025423728813559,0.11652542372881355,0.7754237288135594
TCOM,230,614,0.1237785016286645,0.0993485342019544,0.2687296416938111,0.50814332247557
TCOM,247,143,0.09090909090909091,0.11188811188811189,0.1958041958041958,0.6013986013986014
TCOM,250,104,0.17307692307692307,0.07692307692307693,0.3173076923076923,0.4326923076923077
TCOM,254,178,0.11235955056179775,0.11797752808988764,0.2808988764044944,0.4887640449438202
TCOM,257,205,0.08292682926829269,0.11219512195121951,0.2926829268292683,0.5121951219512195
TCOM,258,249,0.04417670682730924,0.0321285140562249,0.08835341365461848,0.8353413654618473
TCOM,275,309,0.06796116504854369,0.042071197411003236,0.26537216828478966,0.6245954692556634
TCOM,310,355,0.028169014084507043,0.03943661971830986,0.15492957746478872,0.7774647887323943
TCOM,312,267,0.0449438202247191,0.0749063670411985,0.23220973782771537,0.6479400749063671
TCOM,320,406,0.08620689655172414,0.04926108374384237,0.1896551724137931,0.6748768472906403
TCOM,330,87,0.022988505747126436,0.0,0.11494252873563218,0.8620689655172413
TCOM,340,252,0.06349206349206349,0.05555555555555555,0.28174603174603174,0.5992063492063492
TCOM,343,39,0.07692307692307693,0.0,0.38461538461538464,0.5384615384615384
TCOM,347,363,0.02203856749311295,0.030303030303030304,0.2534435261707989,0.6942148760330579
TCOM,348,264,0.03409090909090909,0.022727272727272728,0.26136363636363635,0.6818181818181818
TCOM,349,207,0.06280193236714976,0.06763285024154589,0.3333333333333333,0.5362318840579711
