PREFIX, NUMBER, GPA 
TACCT,210,{***ERROR***}
TACCT,220,{***ERROR***}
TACCT,230,{***ERROR***}
TACCT,301,{***ERROR***}
TACCT,302,{***ERROR***}
TACCT,303,{***ERROR***}
TACCT,311,{***ERROR***}
TACCT,330,{***ERROR***}
TACCT,401,{***ERROR***}
TACCT,404,{***ERROR***}
TACCT,411,{***ERROR***}
TACCT,431,{***ERROR***}
TACCT,451,{***ERROR***}
TACCT,453,{***ERROR***}
TACCT,468,{***ERROR***}
TACCT,469,{***ERROR***}
TACCT,471,{***ERROR***}
TACCT,475,{***ERROR***}
TACCT,480,{***ERROR***}
TACCT,485,{***ERROR***}
TACCT,490,{***ERROR***}
TACCT,501,{***ERROR***}
TACCT,502,{***ERROR***}
TACCT,503,{***ERROR***}
TACCT,507,{***ERROR***}
TACCT,508,{***ERROR***}
TACCT,509,{***ERROR***}
TACCT,511,{***ERROR***}
TACCT,513,{***ERROR***}
TACCT,520,{***ERROR***}
TACCT,521,{***ERROR***}
TACCT,530,{***ERROR***}
TACCT,531,{***ERROR***}
TACCT,532,{***ERROR***}
TACCT,533,{***ERROR***}
TACCT,538,{***ERROR***}
TACCT,541,{***ERROR***}
TACCT,544,{***ERROR***}
TACCT,545,{***ERROR***}
TACCT,550,{***ERROR***}
TACCT,551,{***ERROR***}
TACCT,553,{***ERROR***}
TACCT,554,{***ERROR***}
TACCT,561,{***ERROR***}
TACCT,565,{***ERROR***}
TACCT,566,{***ERROR***}
TACCT,590,{***ERROR***}
TACCT,600,{***ERROR***}
TACCT,601,{***ERROR***}
TBGEN,111,{***ERROR***}
TBGEN,200,{***ERROR***}
TBGEN,210,{***ERROR***}
TBGEN,212,{***ERROR***}
TBGEN,218,{***ERROR***}
TBGEN,250,{***ERROR***}
TBGEN,312,{***ERROR***}
TBGEN,322,{***ERROR***}
TBGEN,360,{***ERROR***}
TBGEN,370,{***ERROR***}
TBGEN,422,{***ERROR***}
TBGEN,468,{***ERROR***}
TBGEN,485,{***ERROR***}
TBGEN,490,{***ERROR***}
TBGEN,492,{***ERROR***}
TBUS,101,{***ERROR***}
TBUS,102,{***ERROR***}
TBUS,300,{***ERROR***}
TBUS,301,{***ERROR***}
TBUS,310,{***ERROR***}
TBUS,320,{***ERROR***}
TBUS,330,{***ERROR***}
