TBANLT,411,{'0': 11, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 1, '18': 0, '19': 0, '20': 0, '21': 0, '22': 1, '23': 1, '24': 0, '25': 1, '26': 1, '27': 1, '28': 2, '29': 5, '30': 2, '31': 5, '32': 5, '33': 3, '34': 5, '35': 4, '36': 9, '37': 21, '38': 29, '39': 51, '40': 29}
TBANLT,433,{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 1, '26': 1, '27': 1, '28': 3, '29': 0, '30': 5, '31': 1, '32': 2, '33': 4, '34': 2, '35': 6, '36': 6, '37': 11, '38': 10, '39': 10, '40': 7}
TBANLT,450,{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 1, '20': 0, '21': 0, '22': 0, '23': 0, '24': 0, '25': 0, '26': 0, '27': 0, '28': 0, '29': 0, '30': 1, '31': 2, '32': 0, '33': 0, '34': 0, '35': 2, '36': 1, '37': 1, '38': 3, '39': 2, '40': 3}
TBANLT,460,{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 2, '23': 0, '24': 2, '25': 0, '26': 1, '27': 1, '28': 3, '29': 0, '30': 2, '31': 1, '32': 1, '33': 3, '34': 11, '35': 8, '36': 22, '37': 16, '38': 17, '39': 14, '40': 26}
TBANLT,480,{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 1, '16': 0, '17': 2, '18': 0, '19': 0, '20': 2, '21': 3, '22': 1, '23': 0, '24': 1, '25': 1, '26': 1, '27': 1, '28': 2, '29': 2, '30': 2, '31': 2, '32': 0, '33': 3, '34': 4, '35': 4, '36': 4, '37': 2, '38': 5, '39': 5, '40': 138}
TBANLT,485,{'0': 10, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 1, '16': 0, '17': 1, '18': 0, '19': 0, '20': 1, '21': 1, '22': 3, '23': 1, '24': 0, '25': 1, '26': 1, '27': 2, '28': 3, '29': 1, '30': 4, '31': 2, '32': 2, '33': 6, '34': 4, '35': 3, '36': 15, '37': 12, '38': 23, '39': 39, '40': 49}
TBECON,220,{'0': 96, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 7, '8': 8, '9': 10, '10': 3, '11': 8, '12': 9, '13': 8, '14': 13, '15': 12, '16': 13, '17': 10, '18': 18, '19': 18, '20': 14, '21': 31, '22': 24, '23': 37, '24': 24, '25': 33, '26': 25, '27': 33, '28': 37, '29': 47, '30': 36, '31': 39, '32': 47, '33': 56, '34': 48, '35': 73, '36': 51, '37': 58, '38': 54, '39': 49, '40': 131}
TBECON,221,{'0': 27, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 4, '11': 2, '12': 0, '13': 2, '14': 1, '15': 3, '16': 3, '17': 5, '18': 4, '19': 1, '20': 5, '21': 9, '22': 4, '23': 11, '24': 20, '25': 9, '26': 21, '27': 23, '28': 19, '29': 21, '30': 31, '31': 23, '32': 23, '33': 19, '34': 27, '35': 30, '36': 31, '37': 28, '38': 17, '39': 20, '40': 41}
TBECON,420,{'0': 3, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 2, '11': 0, '12': 1, '13': 0, '14': 0, '15': 1, '16': 2, '17': 2, '18': 0, '19': 2, '20': 5, '21': 2, '22': 0, '23': 3, '24': 2, '25': 3, '26': 6, '27': 8, '28': 5, '29': 10, '30': 11, '31': 14, '32': 17, '33': 11, '34': 18, '35': 16, '36': 24, '37': 26, '38': 16, '39': 15, '40': 33}
TBECON,421,{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 1, '21': 0, '22': 0, '23': 1, '24': 1, '25': 1, '26': 2, '27': 1, '28': 0, '29': 1, '30': 3, '31': 5, '32': 6, '33': 1, '34': 8, '35': 25, '36': 22, '37': 28, '38': 37, '39': 13, '40': 25}
TBECON,422,{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 1, '23': 3, '24': 1, '25': 4, '26': 3, '27': 2, '28': 3, '29': 3, '30': 2, '31': 8, '32': 4, '33': 7, '34': 5, '35': 13, '36': 16, '37': 5, '38': 15, '39': 7, '40': 12}
