PREFIX, NUMBER, SAMPLE SIZE, 0.0 - 0.9, 1.0 - 1.9, 2.0 - 2.9, 3.0 - 4.0 
AA,101,35,0.08571428571428572,0.0,0.11428571428571428,0.8
JAPAN,101,972,0.02263374485596708,0.0102880658436214,0.047325102880658436,0.9197530864197531
AA,198,74,0.0,0.0,0.0,1.0
PSYCH,209,4453,0.03278688524590164,0.0386256456321581,0.13586346283404446,0.7927240062878959
QMETH,201,4778,0.035789033068229385,0.05546253662620343,0.29949769778149854,0.6092507325240687
AA,210,3222,0.0148975791433892,0.018001241464928614,0.23277467411545624,0.7343265052762259
AA,260,832,0.015625,0.03125,0.31971153846153844,0.6334134615384616
AA,301,526,0.0019011406844106464,0.011406844106463879,0.13307984790874525,0.8536121673003803
AA,310,600,0.01,0.016666666666666666,0.18333333333333332,0.79
AA,311,587,0.0034071550255536627,0.0068143100511073255,0.15502555366269166,0.8347529812606473
AA,312,520,0.007692307692307693,0.023076923076923078,0.22115384615384615,0.7480769230769231
AA,320,296,0.006756756756756757,0.0033783783783783786,0.09121621621621621,0.8986486486486487
AA,322,210,0.0,0.0,0.047619047619047616,0.9523809523809523
AA,331,535,0.005607476635514018,0.007476635514018692,0.05420560747663551,0.9327102803738317
AA,332,517,0.0,0.0,0.058027079303675046,0.941972920696325
AA,400,66,0.0,0.015151515151515152,0.12121212121212122,0.8636363636363636
AA,402,197,0.0,0.0,0.1319796954314721,0.868020304568528
AA,405,233,0.012875536480686695,0.02145922746781116,0.27896995708154504,0.6866952789699571
AA,406,52,0.0,0.038461538461538464,0.21153846153846154,0.75
AA,411,242,0.0,0.0,0.0371900826446281,0.9628099173553719
AA,419,214,0.004672897196261682,0.004672897196261682,0.08411214953271028,0.9065420560747663
AA,421,172,0.0,0.0,0.011627906976744186,0.9883720930232558
AA,430,92,0.0,0.010869565217391304,0.09782608695652174,0.8913043478260869
AA,432,71,0.0,0.014084507042253521,0.07042253521126761,0.9154929577464789
AA,440,133,0.007518796992481203,0.0,0.10526315789473684,0.8872180451127819
AA,302,454,0.004405286343612335,0.006607929515418502,0.14096916299559473,0.8480176211453745
AA,441,71,0.0,0.0,0.08450704225352113,0.9154929577464789
AFRAM,350,169,0.005917159763313609,0.011834319526627219,0.08875739644970414,0.893491124260355
ARAB,203,63,0.015873015873015872,0.06349206349206349,0.19047619047619047,0.7301587301587301
ARCHY,234,118,0.025423728813559324,0.0,0.06779661016949153,0.9067796610169492
AA,447,527,0.0,0.028462998102466792,0.23719165085388993,0.7343453510436433
AA,448,121,0.024793388429752067,0.024793388429752067,0.0743801652892562,0.8760330578512396
AA,460,281,0.0,0.0,0.12455516014234876,0.8754448398576512
AA,461,142,0.0,0.0,0.11267605633802817,0.8873239436619719
AA,462,225,0.0,0.0,0.09777777777777778,0.9022222222222223
ARTH,366,70,0.04285714285714286,0.0,0.17142857142857143,0.7857142857142857
AA,321,485,0.0,0.0,0.14432989690721648,0.8556701030927835
AA,470,122,0.0,0.0,0.09016393442622951,0.9098360655737705
AA,490,21,0.047619047619047616,0.0,0.0,0.9523809523809523
AS,331,139,0.0,0.0,0.007194244604316547,0.9928057553956835
AA,498,341,0.0,0.002932551319648094,0.04985337243401759,0.9472140762463344
AA,499,9,0.0,0.0,0.0,1.0
AS,332,136,0.0,0.0,0.007352941176470588,0.9926470588235294
AES,322,21,0.0,0.047619047619047616,0.09523809523809523,0.8571428571428571
AS,102,254,0.007874015748031496,0.027559055118110236,0.03937007874015748,0.9251968503937008
AS,103,235,0.01276595744680851,0.00851063829787234,0.03404255319148936,0.9446808510638298
AS,212,176,0.005681818181818182,0.005681818181818182,0.045454545454545456,0.9431818181818182
ARTH,270,899,0.05561735261401557,0.028921023359288096,0.135706340378198,0.7797552836484983
AFRAM,270,24,0.0,0.0,0.0,1.0
ARTH,374,15,0.0,0.13333333333333333,0.0,0.8666666666666667
AAS,220,121,0.0,0.03305785123966942,0.09917355371900827,0.8677685950413223
AS,213,118,0.00847457627118644,0.00847457627118644,0.059322033898305086,0.923728813559322
AAS,320,166,0.006024096385542169,0.012048192771084338,0.04819277108433735,0.9337349397590361
AS,333,121,0.0,0.0,0.01652892561983471,0.9834710743801653
AFRAM,320,45,0.0,0.022222222222222223,0.17777777777777778,0.8
AIS,170,270,0.04814814814814815,0.0,0.044444444444444446,0.9074074074074074
AIS,212,24,0.041666666666666664,0.0,0.08333333333333333,0.875
AS,211,212,0.018867924528301886,0.009433962264150943,0.11320754716981132,0.8584905660377359
AS,431,120,0.0,0.0,0.008333333333333333,0.9916666666666667
AS,432,121,0.0,0.0,0.0,1.0
AS,433,117,0.0,0.0,0.008547008547008548,0.9914529914529915
AAS,101,622,0.022508038585209004,0.012861736334405145,0.18006430868167203,0.7845659163987139
AAS,206,620,0.004838709677419355,0.016129032258064516,0.12258064516129032,0.8564516129032258
AIS,103,404,0.03217821782178218,0.012376237623762377,0.04950495049504951,0.905940594059406
AAS,210,101,0.0,0.0297029702970297,0.10891089108910891,0.8613861386138614
AAS,250,145,0.013793103448275862,0.0,0.1103448275862069,0.8758620689655172
AAS,300,25,0.0,0.0,0.12,0.88
AAS,310,75,0.02666666666666667,0.013333333333333334,0.12,0.84
AMATH,342,378,0.06878306878306878,0.021164021164021163,0.09259259259259259,0.8174603174603174
AMATH,352,2312,0.03633217993079585,0.021193771626297576,0.1314878892733564,0.8109861591695502
ANTH,303,186,0.026881720430107527,0.010752688172043012,0.08064516129032258,0.8817204301075269
AAS,330,228,0.013157894736842105,0.0,0.03070175438596491,0.956140350877193
AAS,350,86,0.0,0.03488372093023256,0.1744186046511628,0.7906976744186046
ASL,203,87,0.011494252873563218,0.011494252873563218,0.06896551724137931,0.9080459770114943
ANTH,361,199,0.0,0.005025125628140704,0.005025125628140704,0.9899497487437185
ANTH,373,183,0.02185792349726776,0.00546448087431694,0.04918032786885246,0.9234972677595629
ARCH,300,356,0.0,0.0,0.0898876404494382,0.9101123595505618
AAS,360,269,0.01858736059479554,0.01858736059479554,0.03717472118959108,0.9256505576208178
AAS,370,166,0.006024096385542169,0.0,0.03614457831325301,0.9578313253012049
AAS,372,192,0.015625,0.0,0.041666666666666664,0.9427083333333334
AAS,380,46,0.0,0.0,0.0,1.0
AAS,385,39,0.0,0.05128205128205128,0.07692307692307693,0.8717948717948718
ARTH,273,554,0.05595667870036101,0.03429602888086643,0.13357400722021662,0.776173285198556
AAS,392,177,0.05649717514124294,0.02824858757062147,0.15254237288135594,0.7627118644067796
ARCH,315,357,0.0,0.008403361344537815,0.036414565826330535,0.9551820728291317
ARCHY,325,62,0.04838709677419355,0.016129032258064516,0.06451612903225806,0.8709677419354839
AAS,395,158,0.0,0.02531645569620253,0.08860759493670886,0.8860759493670886
AAS,401,118,0.059322033898305086,0.0,0.03389830508474576,0.9067796610169492
ARCH,321,745,0.0026845637583892616,0.006711409395973154,0.08590604026845637,0.9046979865771813
ARCH,322,350,0.008571428571428572,0.011428571428571429,0.09714285714285714,0.8828571428571429
AAS,402,272,0.022058823529411766,0.01838235294117647,0.05514705882352941,0.9044117647058824
ARCHY,372,45,0.15555555555555556,0.022222222222222223,0.24444444444444444,0.5777777777777777
AAS,405,22,0.045454545454545456,0.0,0.0,0.9545454545454546
AAS,406,49,0.0,0.0,0.22448979591836735,0.7755102040816326
AAS,498,37,0.05405405405405406,0.05405405405405406,0.21621621621621623,0.6756756756756757
AAS,499,45,0.0,0.0,0.06666666666666667,0.9333333333333333
ACADEM,197,180,0.005555555555555556,0.0,0.044444444444444446,0.95
ACADEM,198,89,0.0,0.0,0.011235955056179775,0.9887640449438202
ARCHY,377,21,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.7142857142857143
ART,300,42,0.0,0.0,0.0,1.0
ACCTG,215,8322,0.04001441961067051,0.064647921172795,0.31230473443883683,0.5830329247776976
ACCTG,219,2041,0.04164625183733464,0.060264576188143064,0.27437530622244,0.6237138657520823
ACCTG,275,17,0.0,0.0,0.29411764705882354,0.7058823529411765
ART,301,18,0.0,0.0,0.05555555555555555,0.9444444444444444
ACCTG,301,1034,0.0009671179883945841,0.006769825918762089,0.21470019342359767,0.7775628626692457
ART,302,21,0.0,0.0,0.047619047619047616,0.9523809523809523
ACCTG,311,897,0.005574136008918618,0.0011148272017837235,0.15496098104793757,0.8383500557413601
ART,392,299,0.0033444816053511705,0.0,0.006688963210702341,0.9899665551839465
ACCTG,320,942,0.0031847133757961785,0.0,0.1316348195329087,0.8651804670912951
ACCTG,321,910,0.002197802197802198,0.004395604395604396,0.15274725274725276,0.8406593406593407
ASL,302,9,0.1111111111111111,0.0,0.0,0.8888888888888888
ACCTG,411,948,0.0,0.0010548523206751054,0.0981012658227848,0.9008438818565401
ACCTG,440,888,0.0,0.0,0.0990990990990991,0.9009009009009009
ACCTG,450,221,0.0,0.00904977375565611,0.03619909502262444,0.9547511312217195
ACCTG,451,10,0.0,0.0,0.0,1.0
ACCTG,471,611,0.0,0.0,0.07037643207855974,0.9296235679214403
ACCTG,480,131,0.0,0.0,0.04580152671755725,0.9541984732824428
ACCTG,485,17,0.0,0.0,0.23529411764705882,0.7647058823529411
ACCTG,490,110,0.0,0.0,0.08181818181818182,0.9181818181818182
ACCTG,499,34,0.0,0.0,0.0,1.0
ARTH,272,402,0.03233830845771144,0.022388059701492536,0.05970149253731343,0.8855721393034826
AES,150,1110,0.009009009009009009,0.021621621621621623,0.16846846846846847,0.8009009009009009
AES,151,1079,0.03521779425393883,0.022242817423540315,0.10009267840593142,0.8424467099165894
AES,211,8,0.0,0.0,0.125,0.875
AES,212,693,0.04329004329004329,0.027417027417027416,0.09090909090909091,0.8383838383838383
AES,333,97,0.07216494845360824,0.010309278350515464,0.23711340206185566,0.6804123711340206
AES,340,527,0.03225806451612903,0.024667931688804556,0.0777988614800759,0.8652751423149905
BIBHEB,102,23,0.043478260869565216,0.0,0.0,0.9565217391304348
AES,380,185,0.016216216216216217,0.032432432432432434,0.1837837837837838,0.7675675675675676
AES,389,87,0.034482758620689655,0.05747126436781609,0.19540229885057472,0.7126436781609196
BIOA,355,376,0.06914893617021277,0.08244680851063829,0.2047872340425532,0.6436170212765957
BIOL,302,662,0.0030211480362537764,0.01812688821752266,0.13897280966767372,0.8398791540785498
AES,398,31,0.0,0.0,0.0,1.0
BIOA,300,128,0.015625,0.0859375,0.1796875,0.71875
BIOEN,345,454,0.0022026431718061676,0.0,0.013215859030837005,0.9845814977973568
AES,404,17,0.0,0.0,0.058823529411764705,0.9411764705882353
AES,405,17,0.0,0.0,0.058823529411764705,0.9411764705882353
AES,440,25,0.08,0.08,0.2,0.64
AES,442,110,0.02727272727272727,0.00909090909090909,0.07272727272727272,0.8909090909090909
BIOL,310,332,0.006024096385542169,0.009036144578313253,0.0572289156626506,0.927710843373494
AES,446,16,0.0,0.0,0.1875,0.8125
BIOL,359,173,0.023121387283236993,0.05202312138728324,0.10982658959537572,0.815028901734104
BIOL,380,200,0.015,0.025,0.055,0.905
AES,450,41,0.0,0.0,0.04878048780487805,0.9512195121951219
BIOL,385,248,0.012096774193548387,0.012096774193548387,0.10887096774193548,0.8669354838709677
AES,461,102,0.029411764705882353,0.029411764705882353,0.12745098039215685,0.8137254901960784
AES,462,51,0.11764705882352941,0.09803921568627451,0.11764705882352941,0.6666666666666666
AES,489,98,0.030612244897959183,0.01020408163265306,0.08163265306122448,0.8775510204081632
AES,490,8,0.25,0.0,0.0,0.75
AES,498,186,0.016129032258064516,0.005376344086021506,0.053763440860215055,0.9247311827956989
AES,499,97,0.0,0.0,0.030927835051546393,0.9690721649484536
AFRAM,101,874,0.028604118993135013,0.032036613272311214,0.08810068649885583,0.851258581235698
BIOST,311,46,0.0,0.0,0.06521739130434782,0.9347826086956522
AFRAM,150,213,0.018779342723004695,0.03755868544600939,0.08450704225352113,0.8591549295774648
AFRAM,214,141,0.014184397163120567,0.028368794326241134,0.11347517730496454,0.8439716312056738
BIOEN,325,499,0.004008016032064128,0.01002004008016032,0.08617234468937876,0.8997995991983968
AFRAM,220,231,0.017316017316017316,0.004329004329004329,0.08225108225108226,0.8961038961038961
AFRAM,246,139,0.04316546762589928,0.050359712230215826,0.28776978417266186,0.6187050359712231
AFRAM,260,142,0.035211267605633804,0.09859154929577464,0.18309859154929578,0.6830985915492958
AFRAM,272,164,0.018292682926829267,0.012195121951219513,0.09146341463414634,0.8780487804878049
AFRAM,315,28,0.0,0.0,0.03571428571428571,0.9642857142857143
AFRAM,318,119,0.01680672268907563,0.025210084033613446,0.11764705882352941,0.8403361344537815
BSE,231,55,0.03636363636363636,0.0,0.0,0.9636363636363636
AFRAM,330,168,0.023809523809523808,0.017857142857142856,0.125,0.8333333333333334
AFRAM,334,143,0.0,0.013986013986013986,0.09090909090909091,0.8951048951048951
AFRAM,337,339,0.04129793510324484,0.0058997050147492625,0.11504424778761062,0.8377581120943953
